experiment,group,metric,mean,std
h6_likelihood,spoof_k2,two_stage_roc_auc,0.9888935847499999,0.002203630472945064
h6_likelihood,spoof_k2,two_stage_pr_auc,0.9485726943228888,0.009915990652788424
h6_likelihood,spoof_k2,two_stage_top1pct_tp,1817.0,36.066605052319524
h6_likelihood,spoof_k2,two_stage_top1pct_precision,0.8995049504950495,0.01785475497639582
h6_likelihood,spoof_k3,lik_lam0.5_roc_auc,0.978043464,0.002356484468921259
h6_likelihood,spoof_k3,lik_lam0.5_pr_auc,0.6472701477796134,0.01701333502951059
h6_likelihood,spoof_k3,lik_lam0.5_top1pct_tp,1203.2,33.629748735308745
h6_likelihood,spoof_k3,lik_lam0.5_top1pct_precision,0.5956435643564356,0.016648390463024146
h6_likelihood,spoof_k3,lik_lam0.5_two_stage_roc_auc,0.980234259,0.0015334120351684873
h6_likelihood,spoof_k3,lik_lam0.5_two_stage_pr_auc,0.6763254720950547,0.01459327835422105
h6_likelihood,spoof_k3,lik_lam0.5_two_stage_top1pct_tp,1236.8,32.88403868140286
h6_likelihood,spoof_k3,lik_lam0.5_two_stage_top1pct_precision,0.6122772277227723,0.016279227070001435
h6_likelihood,spoof_k3,lik_lam0.9_roc_auc,0.9958047575,0.0005776165398650341
h6_likelihood,spoof_k3,lik_lam0.9_pr_auc,0.8841490822384159,0.007806767430992663
h6_likelihood,spoof_k3,lik_lam0.9_top1pct_tp,1633.0,12.93058390019569
h6_likelihood,spoof_k3,lik_lam0.9_top1pct_precision,0.8084158415841584,0.0064012791585126945
h6_likelihood,spoof_k3,lik_lam0.9_two_stage_roc_auc,0.9866545344999998,0.0015599053715251124
h6_likelihood,spoof_k3,lik_lam0.9_two_stage_pr_auc,0.8835096343124267,0.006943822073582752
h6_likelihood,spoof_k3,lik_lam0.9_two_stage_top1pct_tp,1637.6,10.32666451474047
h6_likelihood,spoof_k3,lik_lam0.9_two_stage_top1pct_precision,0.8106930693069307,0.005112210155812069
h6_likelihood,spoof_k3,lik_lam1.0_roc_auc,0.9975047265000001,0.0004435499516172096
h6_likelihood,spoof_k3,lik_lam1.0_pr_auc,0.932147289646618,0.0054151683796206255
h6_likelihood,spoof_k3,lik_lam1.0_top1pct_tp,1750.6,16.572265988693278
h6_likelihood,spoof_k3,lik_lam1.0_top1pct_precision,0.8666336633663366,0.008204092073610541
h6_likelihood,spoof_k3,lik_lam1.0_two_stage_roc_auc,0.98759231125,0.001596921323618172
h6_likelihood,spoof_k3,lik_lam1.0_two_stage_pr_auc,0.9258982169359047,0.006124812283983994
h6_likelihood,spoof_k3,lik_lam1.0_two_stage_top1pct_tp,1749.8,15.276125163142646
h6_likelihood,spoof_k3,lik_lam1.0_two_stage_top1pct_precision,0.8662376237623762,0.007562438199575575
h6_likelihood,spoof_k3,mp_raw_roc_auc,0.9978709665000001,0.0005666716553467032
h6_likelihood,spoof_k3,mp_raw_pr_auc,0.951462496118185,0.01159809511721038
h6_likelihood,spoof_k3,mp_raw_top1pct_tp,1820.8,34.84479875103313
h6_likelihood,spoof_k3,mp_raw_top1pct_precision,0.9013861386138615,0.017249900371798594
h6_likelihood,spoof_k3,trivial_roc_auc,0.9498854999999999,0.00166636985690452
h6_likelihood,spoof_k3,trivial_pr_auc,0.10769493979606075,0.0016823579416137822
h6_likelihood,spoof_k3,trivial_top1pct_tp,226.4,6.2801273872430325
h6_likelihood,spoof_k3,trivial_top1pct_precision,0.1120792079207921,0.003108973954080712
h6_likelihood,spoof_k3,two_stage_roc_auc,0.9881138440000001,0.0015800117819983292
h6_likelihood,spoof_k3,two_stage_pr_auc,0.9481306750433596,0.008018366893044918
h6_likelihood,spoof_k3,two_stage_top1pct_tp,1812.4,32.824381182285826
h6_likelihood,spoof_k3,two_stage_top1pct_precision,0.8972277227722772,0.01624969365459696
h6_likelihood,novel,lik_lam0.5_roc_auc,0.9793536890000001,0.0026037355144454305
h6_likelihood,novel,lik_lam0.5_pr_auc,0.6544898430252154,0.020061961372791665
h6_likelihood,novel,lik_lam0.5_top1pct_tp,1217.4,32.5674684309358
h6_likelihood,novel,lik_lam0.5_top1pct_precision,0.6026732673267327,0.016122509124225658
h6_likelihood,novel,lik_lam0.5_two_stage_roc_auc,0.9820993977500001,0.002217323120953867
h6_likelihood,novel,lik_lam0.5_two_stage_pr_auc,0.6834389324088852,0.01752370330705542
h6_likelihood,novel,lik_lam0.5_two_stage_top1pct_tp,1254.0,29.543188724306656
h6_likelihood,novel,lik_lam0.5_two_stage_top1pct_precision,0.6207920792079208,0.01462534095262707
h6_likelihood,novel,lik_lam0.9_roc_auc,0.9964944535000001,0.00039970857925685627
h6_likelihood,novel,lik_lam0.9_pr_auc,0.893542117123209,0.007730186115064407
h6_likelihood,novel,lik_lam0.9_top1pct_tp,1654.2,12.796874618437112
h6_likelihood,novel,lik_lam0.9_top1pct_precision,0.818910891089109,0.006335086444770819
h6_likelihood,novel,lik_lam0.9_two_stage_roc_auc,0.9884361177500001,0.0018121189675626148
h6_likelihood,novel,lik_lam0.9_two_stage_pr_auc,0.8926146683148402,0.008231107652964975
h6_likelihood,novel,lik_lam0.9_two_stage_top1pct_tp,1659.8,13.570556362949898
h6_likelihood,novel,lik_lam0.9_two_stage_top1pct_precision,0.8216831683168317,0.006718097209381105
h6_likelihood,novel,lik_lam1.0_roc_auc,0.99811618175,0.00026048603606592286
h6_likelihood,novel,lik_lam1.0_pr_auc,0.9392108525723186,0.004524306454939417
h6_likelihood,novel,lik_lam1.0_top1pct_tp,1762.4,11.217842929904126
h6_likelihood,novel,lik_lam1.0_top1pct_precision,0.8724752475247526,0.005553387589061454
h6_likelihood,novel,lik_lam1.0_two_stage_roc_auc,0.98936196725,0.001738727888932056
h6_likelihood,novel,lik_lam1.0_two_stage_pr_auc,0.9333276189571619,0.005691075928903821
h6_likelihood,novel,lik_lam1.0_two_stage_top1pct_tp,1764.2,15.84171707865028
h6_likelihood,novel,lik_lam1.0_two_stage_top1pct_precision,0.8733663366336634,0.007842434197351632
h6_likelihood,novel,mp_raw_roc_auc,0.9985587445,0.0005219736622627657
h6_likelihood,novel,mp_raw_pr_auc,0.9589501879270227,0.012887788492629108
h6_likelihood,novel,mp_raw_top1pct_tp,1842.6,35.58988620380796
h6_likelihood,novel,mp_raw_top1pct_precision,0.9121782178217822,0.01761875554643956
